Wed Feb  5 16:03:07 2025    profile_output.prof

         81890 function calls (79883 primitive calls) in 0.157 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      464    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1583(__eq__)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:528(__new__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/array_utils.py:1(<module>)
      460    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_utils/_inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/numbers.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      101    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/_distutils_hack/__init__.py:102(find_spec)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      404    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
 1021/957    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:2874(__new__)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      716    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      353    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:166(_type_convert)
     1411    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1264(<genexpr>)
      404    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      863    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_utils/__init__.py:1(<module>)
      863    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
